image;head;right_hand;right_elbow;right_shoulder;neck;left_shoulder;left_elbow;left_hand;right_foot;right_knee;right_hip;left_hip;left_knee;left_foot
1001_8bit.png;249,400;340,345;334,276;317,330;280,342;251,324;228,278;228,334;290,130;354,193;304,190;251,190;211,200;265,129
1006_8bit.png;257,397;345,353;335,277;321,331;284,334;247,323;226,282;227,331;293,132;358,194;306,185;253,183;212,193;271,121
1011_8bit.png;255,397;337,348;340,279;320,334;283,336;249,322;227,276;226,334;293,133;354,187;302,185;255,183;212,198;263,132
1016_8bit.png;252,392;342,347;337,277;318,329;282,336;248,322;225,281;225,332;296,128;353,191;306,183;255,184;211,196;266,127
101_8bit.png;249,401;344,365;342,308;315,336;284,336;246,326;228,280;228,333;310,127;355,190;309,185;252,182;211,184;244,124
1021_8bit.png;254,396;341,349;336,278;322,331;287,337;244,320;223,277;230,333;290,131;364,193;310,191;254,186;214,193;265,127
1026_8bit.png;263,397;341,343;333,278;319,329;283,340;248,320;225,283;227,331;296,136;357,193;304,188;258,182;206,193;267,126
1031_8bit.png;255,397;339,347;333,276;319,328;282,339;252,320;226,280;227,328;296,137;355,192;301,186;260,183;209,197;267,124
1036_8bit.png;256,399;340,351;335,281;319,330;279,340;246,321;224,280;229,333;295,134;354,189;304,185;256,187;213,197;261,132
1041_8bit.png;258,401;340,348;333,275;320,330;285,340;251,327;226,280;231,333;295,132;351,194;300,185;258,184;210,193;259,135
1046_8bit.png;259,395;342,345;335,281;320,332;283,339;246,323;224,280;231,332;300,132;354,189;301,182;258,181;214,193;260,129
1051_8bit.png;258,395;340,343;334,276;316,326;283,341;250,322;224,284;233,336;299,137;353,194;303,189;258,191;210,194;268,123
1056_8bit.png;261,400;341,347;334,279;322,327;284,337;250,318;224,283;230,334;304,137;351,190;308,184;264,186;216,195;263,126
1061_8bit.png;258,395;345,344;334,283;316,333;282,343;248,321;227,283;228,333;289,124;352,188;302,181;259,186;214,194;260,133
1066_8bit.png;259,397;339,346;331,285;317,328;281,337;250,324;223,283;230,332;297,130;353,193;301,183;265,185;212,192;262,125
106_8bit.png;256,410;351,371;343,303;317,340;284,342;246,319;226,277;230,331;310,133;358,191;308,192;254,192;212,192;242,128
1071_8bit.png;257,390;346,337;333,283;319,330;280,341;249,323;226,281;229,327;306,144;354,190;305,188;261,187;211,200;260,130
