image;head;right_hand;right_elbow;right_shoulder;neck;left_shoulder;left_elbow;left_hand;right_foot;right_knee;right_hip;left_hip;left_knee;left_foot
1001_8bit.png;341,363;348,204;374,257;358,292;326,313;289,307;277,257;325,256;315,51;344,98;337,138;291,153;274,99;280,51
1006_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;281,42
1011_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;281,42
1016_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;281,42
101_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1021_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1026_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1031_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1036_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1041_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1046_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1051_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1056_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1061_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
1066_8bit.png;342,363;343,196;374,253;356,292;325,308;292,306;277,258;335,255;320,53;349,105;337,140;291,160;273,91;287,57
106_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1071_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1076_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1081_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1086_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1091_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1096_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1101_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1106_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1111_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1116_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
111_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1121_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1126_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1131_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1136_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1141_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1146_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1151_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1156_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1161_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1166_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
116_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1171_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1176_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1181_8bit.png;342,363;338,203;367,246;352,292;326,301;298,302;269,255;320,260;319,56;347,100;336,141;286,156;271,113;287,60
1186_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;290,251;334,261;318,49;348,95;336,140;295,150;270,94;284,51
1191_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;290,251;334,261;318,49;348,95;336,140;295,150;270,94;284,51
1196_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;290,251;334,261;318,49;348,95;336,140;295,150;270,94;284,51
11_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,254;331,265;319,56;345,98;333,142;292,158;272,110;288,64
1201_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,254;331,265;319,56;345,98;333,142;292,158;272,110;283,50
1206_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,254;331,265;319,56;345,98;333,142;292,158;272,110;283,50
1211_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,254;331,265;319,56;345,98;333,142;292,158;272,110;283,50
1216_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;319,46;345,92;336,138;297,154;273,96;283,50
121_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;316,53;348,99;330,139;292,156;271,108;290,60
1221_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1226_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1231_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1236_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1241_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1246_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1251_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1256_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1261_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
1266_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;321,51;346,93;340,143;290,156;280,97;286,51
126_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;315,56;340,93;334,138;290,153;273,113;288,62
1271_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1276_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1281_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1286_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1291_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1296_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1301_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1306_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1311_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
1316_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;282,254;335,259;318,52;346,93;333,137;298,150;273,94;285,53
131_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;276,259;321,252;318,60;343,99;333,138;289,153;273,102;293,61
1321_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;276,259;321,252;320,51;344,93;333,143;289,155;276,94;286,53
1326_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;276,259;321,252;320,51;344,93;333,143;289,155;276,94;286,53
1331_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1336_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1341_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1346_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1351_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1356_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1361_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
1366_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;283,256;334,258;322,49;350,101;336,140;294,155;275,98;283,55
136_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;320,57;342,97;334,142;288,158;277,100;290,58
1371_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
1376_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
1381_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
1386_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
1391_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
1396_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
1401_8bit.png;342,363;338,203;371,244;356,301;326,309;302,305;272,258;321,254;323,47;342,98;340,141;294,154;278,94;286,54
