image;head;right_hand;right_elbow;right_shoulder;neck;left_shoulder;left_elbow;left_hand;right_foot;right_knee;right_hip;left_hip;left_knee;left_foot
1001_8bit.png;303,386;324,261;358,295;351,346;319,331;273,339;262,287;314,237;325,164;343,176;339,223;278,230;282,168;278,105
1006_8bit.png;311,406;325,260;354,294;345,339;312,332;268,337;261,279;315,234;319,164;346,191;-1,-1;284,235;276,157;274,116
1011_8bit.png;303,388;319,266;353,303;345,346;314,329;282,342;255,279;322,232;320,164;352,188;-1,-1;282,233;272,158;277,114
1016_8bit.png;328,374;324,266;356,299;346,340;314,327;277,341;258,283;327,235;329,164;349,190;-1,-1;288,228;277,156;277,115
101_8bit.png;308,378;312,294;360,292;342,338;320,327;-1,-1;260,290;274,340;337,186;375,220;339,233;291,232;264,200;287,174
1021_8bit.png;300,371;312,262;354,300;339,337;313,332;273,336;250,274;315,231;334,167;349,196;-1,-1;282,236;278,155;275,115
1026_8bit.png;305,404;314,257;357,299;344,342;312,328;288,342;259,273;314,237;327,164;347,187;-1,-1;292,234;276,167;272,125
1031_8bit.png;315,396;329,266;356,295;341,338;319,331;275,340;259,268;312,246;324,166;341,181;-1,-1;-1,-1;280,181;272,123
1036_8bit.png;313,389;322,264;367,304;340,334;308,329;277,339;262,272;317,229;330,171;347,187;-1,-1;-1,-1;280,172;276,126
1041_8bit.png;321,367;321,267;360,301;345,341;318,329;277,348;261,284;311,233;323,156;353,184;-1,-1;-1,-1;280,166;273,126
1046_8bit.png;310,401;322,263;355,298;342,344;315,329;275,338;268,275;321,230;340,172;350,192;-1,-1;-1,-1;269,167;263,130
1051_8bit.png;315,380;317,256;368,300;-1,-1;309,333;270,342;256,280;316,234;314,165;349,198;-1,-1;-1,-1;246,161;251,139
1056_8bit.png;325,382;324,269;371,307;343,348;316,329;284,339;259,267;306,236;317,174;354,193;-1,-1;-1,-1;249,177;246,147
1061_8bit.png;318,385;320,265;364,298;339,337;305,328;266,332;261,271;323,222;330,181;358,210;-1,-1;-1,-1;248,197;243,155
1066_8bit.png;325,371;321,268;353,293;341,336;309,329;280,339;260,266;312,221;333,185;359,224;-1,-1;-1,-1;254,213;257,184
106_8bit.png;331,385;316,289;357,295;342,334;310,329;287,328;258,290;275,350;340,189;373,218;340,232;300,220;267,204;281,166
1071_8bit.png;317,367;324,263;359,302;341,340;317,326;274,340;263,265;313,221;335,190;363,227;-1,-1;-1,-1;261,217;277,190
1076_8bit.png;320,381;326,263;359,302;339,337;312,327;281,338;264,268;313,210;335,176;368,217;-1,-1;-1,-1;265,217;274,180
1081_8bit.png;316,386;322,262;364,295;345,335;317,324;279,333;257,266;312,221;336,184;369,228;338,231;-1,-1;263,213;275,182
1086_8bit.png;323,395;326,269;355,302;336,338;311,324;278,338;266,270;310,227;331,193;372,220;338,232;-1,-1;262,211;282,186
1091_8bit.png;295,385;329,268;363,298;338,333;312,329;272,337;266,270;313,217;335,191;362,219;336,227;-1,-1;267,203;287,180
1096_8bit.png;323,370;331,271;356,299;341,340;310,329;277,324;267,256;308,217;323,190;364,222;-1,-1;-1,-1;257,202;289,175
1101_8bit.png;305,405;332,262;362,300;342,345;310,327;279,332;266,262;300,227;318,190;358,229;334,233;-1,-1;267,210;286,183
1106_8bit.png;316,396;334,277;361,299;341,336;314,328;275,335;261,264;318,214;315,184;355,231;340,231;-1,-1;262,214;296,171
1111_8bit.png;318,370;331,260;357,301;342,343;312,322;277,331;266,265;314,221;318,195;358,233;336,235;-1,-1;260,216;289,179
